schedulerBacklogTimeout,defaultParallelism,initialExecutors,batchSize,executorAllocationRatio,batchDelay,Execution Time
1.0,1.0,1.0,1.0,0.75,500.0,135.66
1.0,1.0,1.0,1.0,1.0,500.0,143.71
1.0,1.0,1.0,1.0,0.75,7000.0,138.22
1.0,1.0,10.5,1.0,0.75,500.0,147.26
1.0,21.0,1.0,1.0,0.75,500.0,150.28
1.0,1.0,1.0,21.0,0.75,500.0,144.24
21.0,1.0,1.0,1.0,0.75,500.0,153.17
6.8479004402673205,6.093040828972444,2.578582424714633,,,,97.14
6.1012653239109635,5.859315524289338,2.543037945450066,,,,90.52
3.895917126754031,1.7438760253150245,1.0000665576654693,,,,130.61
6.31231958686126,1.9473969401846616,1.0000742982964246,,,,148.25
5.456146524086021,1.482568677883756,1.0000025411997309,,,,152.22
5.94728211725578,1.504444432197599,1.0000025920392202,,,,133.18
10.083086971969385,6.938290873268573,2.5643999483971904,,,,102.05
11.038092866749356,7.2076499586862255,2.601014763043931,,,,100.99
11.176443119601624,7.569315679200517,3.208907863367242,,,,99.08
12.693728672824882,8.027039902507097,3.285179766362405,,,,87.97
13.387591843262198,10.114593436946185,7.8591883297213485,,,,72.98
15.066441464237283,10.738071047026367,7.96190537619041,,,,72.89
15.069768377136842,10.75004895847661,7.983387460152279,,,,74.95
